,id,text,label
13198,17116,"Scott Brosius returned home at 2 a.m. yesterday, still overwhelmed by the enormousness and drama of Tino Martinez's game-tying home run in the ninth inning of Game 4 of the World Series. Brosius could not sleep, so he called a friend on the West Coast. ''Have you ever seen a game like that in your lifetime?'' Brosius said.",20
24713,30994,It's a brisk Wednesday morning in the windy caverns of Wall Street and Sarah Clark's toes are cold.,0
7139,9132,INTERNATIONAL A3-12,14
12299,16054,The Bush administration is preparing to approve a Clinton-era plan to clamp down on pollutants from power plants that have spoiled vistas in many national parks. Page A15.,6
266,431,"With the state facing its potentially worst fiscal crisis in years, a growing number of labor leaders, municipal officials and Democratic legislators are openly advocating what was once considered politically unthinkable: delaying or scaling back an income-tax cut scheduled to take effect in just five weeks.",20
1499,2141,"Troubled by a plan to have welfare recipients clean New York City subways and buses and by new Federal workfare requirements, the head of New York's largest municipal union has called for a moratorium on expanding the city's workfare program. The demand reflects the growing anxiety of labor leaders nationwide over workfare.",4
6466,8318,Federal prosecutors have filed secret charges against a former sergeant in the United States Army who is suspected of switching sides in the war against terrorism and joining the global campaign to attack Americans mounted by the Saudi exile Osama bin Laden.,14
15067,19421,Congressional investigators said today that the Bush administration had improperly allowed some states to spend federal money intended for the Children's Health Insurance Program on childless adults instead.,2
29987,15889,,20
6888,8828,"Business Day's annual survey of the economy, markets and industry examines whether the prosperity enjoyed by Wall Street and Main Street in 1998 can continue for another year, and whether problems like the Asian and Russian financial crises will endanger global economic growth. It also looks at the debut of the euro, the common currency of 11 European nations.",13
26850,13788,"Deploring what it called the ''pervasive and aggressive marketing'' of violent entertainment to children, the Federal Trade Commission said today that the vast majority of the best-selling restricted movies, music and video games were deliberately marketed to children as young as 12.",20
13566,17546,"The leaders of Pakistan and India traded stiff warnings today about the risks of a wider conflict between them as their armies traded sporadic artillery fire in the mountains of Kashmir and continued an intensive military buildup elsewhere along their 1,800-mile border.",17
1614,2357,"The Riady family of Indonesia suddenly finds itself at the center of a political uproar in America, with Republicans alleging that its contributions to the Democratic Party have influenced President Clinton's policies toward Indonesia.",18
19771,25545,"WASHINGTON, Sept. 26 - Fearing a sharp decline in recruiting and troop retention, the Army is considering cutting the length of its 12-month combat tours in Iraq and Afghanistan, senior Army officials say.",14
1345,1894,"After a prolonged, confounding search of the ocean floor, investigators have finally found scientific evidence that an explosive device was detonated inside the passenger cabin of Trans World Airlines Flight 800, senior Federal officials said yesterday.",9
27985,22397,Lawyers for Gov. Gray Davis of California said today that they would file a legal challenge on Monday to the Oct. 7 recall election that if successful would delay the vote until March and would allow Governor Davis to run to replace himself.,20
